,code,description,icd10cm_code
39379,T59.3X3,"Toxic effect of lacrimogenic gas, assault",T593X3
39380,T59.3X4,"Toxic effect of lacrimogenic gas, undetermined",T593X4
39381,T59.4,Toxic effect of chlorine gas,T594
39382,T59.4X,Toxic effect of chlorine gas,T594X
39383,T59.4X1,"Toxic effect of chlorine gas, accidental (unintentional)",T594X1
39384,T59.4X2,"Toxic effect of chlorine gas, intentional self-harm",T594X2
39385,T59.4X3,"Toxic effect of chlorine gas, assault",T594X3
39386,T59.4X4,"Toxic effect of chlorine gas, undetermined",T594X4
39387,T59.5,Toxic effect of fluorine gas and hydrogen fluoride,T595
39388,T59.5X,Toxic effect of fluorine gas and hydrogen fluoride,T595X
39389,T59.5X1,"Toxic effect of fluorine gas and hydrogen fluoride, accidental (unintentional)",T595X1
39390,T59.5X2,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm",T595X2
39391,T59.5X3,"Toxic effect of fluorine gas and hydrogen fluoride, assault",T595X3
39392,T59.5X4,"Toxic effect of fluorine gas and hydrogen fluoride, undetermined",T595X4
39393,T59.6,Toxic effect of hydrogen sulfide,T596
39394,T59.6X,Toxic effect of hydrogen sulfide,T596X
39395,T59.6X1,"Toxic effect of hydrogen sulfide, accidental (unintentional)",T596X1
39396,T59.6X2,"Toxic effect of hydrogen sulfide, intentional self-harm",T596X2
39397,T59.6X3,"Toxic effect of hydrogen sulfide, assault",T596X3
39398,T59.6X4,"Toxic effect of hydrogen sulfide, undetermined",T596X4
39399,T59.7,Toxic effect of carbon dioxide,T597
39400,T59.7X,Toxic effect of carbon dioxide,T597X
39401,T59.7X1,"Toxic effect of carbon dioxide, accidental (unintentional)",T597X1
39402,T59.7X2,"Toxic effect of carbon dioxide, intentional self-harm",T597X2
39403,T59.7X3,"Toxic effect of carbon dioxide, assault",T597X3
39404,T59.7X4,"Toxic effect of carbon dioxide, undetermined",T597X4
39405,T59.8,"Toxic effect of other specified gases, fumes and vapors",T598
39406,T59.81,Toxic effect of smoke,T5981
39407,T59.811,"Toxic effect of smoke, accidental (unintentional)",T59811
39408,T59.812,"Toxic effect of smoke, intentional self-harm",T59812
39409,T59.813,"Toxic effect of smoke, assault",T59813
39410,T59.814,"Toxic effect of smoke, undetermined",T59814
39411,T59.89,"Toxic effect of other specified gases, fumes and vapors",T5989
39412,T59.891,"Toxic effect of other specified gases, fumes and vapors, accidental (unintentional)",T59891
39413,T59.892,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm",T59892
39414,T59.893,"Toxic effect of other specified gases, fumes and vapors, assault",T59893
39415,T59.894,"Toxic effect of other specified gases, fumes and vapors, undetermined",T59894
39416,T59.9,"Toxic effect of unspecified gases, fumes and vapors",T599
39417,T59.91,"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional)",T5991
39418,T59.92,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm",T5992
39419,T59.93,"Toxic effect of unspecified gases, fumes and vapors, assault",T5993
39420,T59.94,"Toxic effect of unspecified gases, fumes and vapors, undetermined",T5994
39421,T60,Toxic effect of pesticides,T60
39422,T60.0,Toxic effect of organophosphate and carbamate insecticides,T600
39423,T60.0X,Toxic effect of organophosphate and carbamate insecticides,T600X
39424,T60.0X1,"Toxic effect of organophosphate and carbamate insecticides, accidental (unintentional)",T600X1
39425,T60.0X2,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm",T600X2
39426,T60.0X3,"Toxic effect of organophosphate and carbamate insecticides, assault",T600X3
39427,T60.0X4,"Toxic effect of organophosphate and carbamate insecticides, undetermined",T600X4
39428,T60.1,Toxic effect of halogenated insecticides,T601
39429,T60.1X,Toxic effect of halogenated insecticides,T601X
39430,T60.1X1,"Toxic effect of halogenated insecticides, accidental (unintentional)",T601X1
39431,T60.1X2,"Toxic effect of halogenated insecticides, intentional self-harm",T601X2
39432,T60.1X3,"Toxic effect of halogenated insecticides, assault",T601X3
39433,T60.1X4,"Toxic effect of halogenated insecticides, undetermined",T601X4
39434,T60.2,Toxic effect of other insecticides,T602
39435,T60.2X,Toxic effect of other insecticides,T602X
39436,T60.2X1,"Toxic effect of other insecticides, accidental (unintentional)",T602X1
39437,T60.2X2,"Toxic effect of other insecticides, intentional self-harm",T602X2
39438,T60.2X3,"Toxic effect of other insecticides, assault",T602X3
39439,T60.2X4,"Toxic effect of other insecticides, undetermined",T602X4
39440,T60.3,Toxic effect of herbicides and fungicides,T603
39441,T60.3X,Toxic effect of herbicides and fungicides,T603X
39442,T60.3X1,"Toxic effect of herbicides and fungicides, accidental (unintentional)",T603X1
39443,T60.3X2,"Toxic effect of herbicides and fungicides, intentional self-harm",T603X2
39444,T60.3X3,"Toxic effect of herbicides and fungicides, assault",T603X3
39445,T60.3X4,"Toxic effect of herbicides and fungicides, undetermined",T603X4
39446,T60.4,Toxic effect of rodenticides,T604
39447,T60.4X,Toxic effect of rodenticides,T604X
39448,T60.4X1,"Toxic effect of rodenticides, accidental (unintentional)",T604X1
39449,T60.4X2,"Toxic effect of rodenticides, intentional self-harm",T604X2
39450,T60.4X3,"Toxic effect of rodenticides, assault",T604X3
39451,T60.4X4,"Toxic effect of rodenticides, undetermined",T604X4
39452,T60.8,Toxic effect of other pesticides,T608
39453,T60.8X,Toxic effect of other pesticides,T608X
39454,T60.8X1,"Toxic effect of other pesticides, accidental (unintentional)",T608X1
39455,T60.8X2,"Toxic effect of other pesticides, intentional self-harm",T608X2
39456,T60.8X3,"Toxic effect of other pesticides, assault",T608X3
39457,T60.8X4,"Toxic effect of other pesticides, undetermined",T608X4
39458,T60.9,Toxic effect of unspecified pesticide,T609
39459,T60.91,"Toxic effect of unspecified pesticide, accidental (unintentional)",T6091
39460,T60.92,"Toxic effect of unspecified pesticide, intentional self-harm",T6092
39461,T60.93,"Toxic effect of unspecified pesticide, assault",T6093
39462,T60.94,"Toxic effect of unspecified pesticide, undetermined",T6094
39463,T61,Toxic effect of noxious substances eaten as seafood,T61
39464,T61.0,Ciguatera fish poisoning,T610
39465,T61.01,"Ciguatera fish poisoning, accidental (unintentional)",T6101
39466,T61.02,"Ciguatera fish poisoning, intentional self-harm",T6102
39467,T61.03,"Ciguatera fish poisoning, assault",T6103
39468,T61.04,"Ciguatera fish poisoning, undetermined",T6104
39469,T61.1,Scombroid fish poisoning,T611
39470,T61.11,"Scombroid fish poisoning, accidental (unintentional)",T6111
39471,T61.12,"Scombroid fish poisoning, intentional self-harm",T6112
39472,T61.13,"Scombroid fish poisoning, assault",T6113
39473,T61.14,"Scombroid fish poisoning, undetermined",T6114
39474,T61.7,Other fish and shellfish poisoning,T617
39475,T61.77,Other fish poisoning,T6177
39476,T61.771,"Other fish poisoning, accidental (unintentional)",T61771
39477,T61.772,"Other fish poisoning, intentional self-harm",T61772
39478,T61.773,"Other fish poisoning, assault",T61773
39479,T61.774,"Other fish poisoning, undetermined",T61774
39480,T61.78,Other shellfish poisoning,T6178
39481,T61.781,"Other shellfish poisoning, accidental (unintentional)",T61781
39482,T61.782,"Other shellfish poisoning, intentional self-harm",T61782
39483,T61.783,"Other shellfish poisoning, assault",T61783
39484,T61.784,"Other shellfish poisoning, undetermined",T61784
39485,T61.8,Toxic effect of other seafood,T618
39486,T61.8X,Toxic effect of other seafood,T618X
39487,T61.8X1,"Toxic effect of other seafood, accidental (unintentional)",T618X1
39488,T61.8X2,"Toxic effect of other seafood, intentional self-harm",T618X2
39489,T61.8X3,"Toxic effect of other seafood, assault",T618X3
39490,T61.8X4,"Toxic effect of other seafood, undetermined",T618X4
39491,T61.9,Toxic effect of unspecified seafood,T619
39492,T61.91,"Toxic effect of unspecified seafood, accidental (unintentional)",T6191
39493,T61.92,"Toxic effect of unspecified seafood, intentional self-harm",T6192
39494,T61.93,"Toxic effect of unspecified seafood, assault",T6193
39495,T61.94,"Toxic effect of unspecified seafood, undetermined",T6194
39496,T62,Toxic effect of other noxious substances eaten as food,T62
39497,T62.0,Toxic effect of ingested mushrooms,T620
39498,T62.0X,Toxic effect of ingested mushrooms,T620X
39499,T62.0X1,"Toxic effect of ingested mushrooms, accidental (unintentional)",T620X1
39500,T62.0X2,"Toxic effect of ingested mushrooms, intentional self-harm",T620X2
39501,T62.0X3,"Toxic effect of ingested mushrooms, assault",T620X3
39502,T62.0X4,"Toxic effect of ingested mushrooms, undetermined",T620X4
39503,T62.1,Toxic effect of ingested berries,T621
39504,T62.1X,Toxic effect of ingested berries,T621X
39505,T62.1X1,"Toxic effect of ingested berries, accidental (unintentional)",T621X1
39506,T62.1X2,"Toxic effect of ingested berries, intentional self-harm",T621X2
39507,T62.1X3,"Toxic effect of ingested berries, assault",T621X3
39508,T62.1X4,"Toxic effect of ingested berries, undetermined",T621X4
39509,T62.2,Toxic effect of other ingested (parts of) plant(s),T622
39510,T62.2X,Toxic effect of other ingested (parts of) plant(s),T622X
39511,T62.2X1,"Toxic effect of other ingested (parts of) plant(s), accidental (unintentional)",T622X1
39512,T62.2X2,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm",T622X2
39513,T62.2X3,"Toxic effect of other ingested (parts of) plant(s), assault",T622X3
39514,T62.2X4,"Toxic effect of other ingested (parts of) plant(s), undetermined",T622X4
39515,T62.8,Toxic effect of other specified noxious substances eaten as food,T628
39516,T62.8X,Toxic effect of other specified noxious substances eaten as food,T628X
39517,T62.8X1,"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional)",T628X1
39518,T62.8X2,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm",T628X2
39519,T62.8X3,"Toxic effect of other specified noxious substances eaten as food, assault",T628X3
39520,T62.8X4,"Toxic effect of other specified noxious substances eaten as food, undetermined",T628X4
39521,T62.9,Toxic effect of unspecified noxious substance eaten as food,T629
39522,T62.91,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional)",T6291
39523,T62.92,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm",T6292
39524,T62.93,"Toxic effect of unspecified noxious substance eaten as food, assault",T6293
39525,T62.94,"Toxic effect of unspecified noxious substance eaten as food, undetermined",T6294
39526,T63,Toxic effect of contact with venomous animals and plants,T63
39527,T63.0,Toxic effect of snake venom,T630
39528,T63.00,Toxic effect of unspecified snake venom,T6300
39529,T63.001,"Toxic effect of unspecified snake venom, accidental (unintentional)",T63001
39530,T63.002,"Toxic effect of unspecified snake venom, intentional self-harm",T63002
39531,T63.003,"Toxic effect of unspecified snake venom, assault",T63003
39532,T63.004,"Toxic effect of unspecified snake venom, undetermined",T63004
39533,T63.01,Toxic effect of rattlesnake venom,T6301
39534,T63.011,"Toxic effect of rattlesnake venom, accidental (unintentional)",T63011
39535,T63.012,"Toxic effect of rattlesnake venom, intentional self-harm",T63012
39536,T63.013,"Toxic effect of rattlesnake venom, assault",T63013
39537,T63.014,"Toxic effect of rattlesnake venom, undetermined",T63014
39538,T63.02,Toxic effect of coral snake venom,T6302
39539,T63.021,"Toxic effect of coral snake venom, accidental (unintentional)",T63021
39540,T63.022,"Toxic effect of coral snake venom, intentional self-harm",T63022
39541,T63.023,"Toxic effect of coral snake venom, assault",T63023
39542,T63.024,"Toxic effect of coral snake venom, undetermined",T63024
39543,T63.03,Toxic effect of taipan venom,T6303
39544,T63.031,"Toxic effect of taipan venom, accidental (unintentional)",T63031
39545,T63.032,"Toxic effect of taipan venom, intentional self-harm",T63032
39546,T63.033,"Toxic effect of taipan venom, assault",T63033
39547,T63.034,"Toxic effect of taipan venom, undetermined",T63034
39548,T63.04,Toxic effect of cobra venom,T6304
39549,T63.041,"Toxic effect of cobra venom, accidental (unintentional)",T63041
39550,T63.042,"Toxic effect of cobra venom, intentional self-harm",T63042
39551,T63.043,"Toxic effect of cobra venom, assault",T63043
39552,T63.044,"Toxic effect of cobra venom, undetermined",T63044
39553,T63.06,Toxic effect of venom of other North and South American snake,T6306
39554,T63.061,"Toxic effect of venom of other North and South American snake, accidental (unintentional)",T63061
39555,T63.062,"Toxic effect of venom of other North and South American snake, intentional self-harm",T63062
39556,T63.063,"Toxic effect of venom of other North and South American snake, assault",T63063
39557,T63.064,"Toxic effect of venom of other North and South American snake, undetermined",T63064
39558,T63.07,Toxic effect of venom of other Australian snake,T6307
39559,T63.071,"Toxic effect of venom of other Australian snake, accidental (unintentional)",T63071
39560,T63.072,"Toxic effect of venom of other Australian snake, intentional self-harm",T63072
39561,T63.073,"Toxic effect of venom of other Australian snake, assault",T63073
39562,T63.074,"Toxic effect of venom of other Australian snake, undetermined",T63074
39563,T63.08,Toxic effect of venom of other African and Asian snake,T6308
39564,T63.081,"Toxic effect of venom of other African and Asian snake, accidental (unintentional)",T63081
39565,T63.082,"Toxic effect of venom of other African and Asian snake, intentional self-harm",T63082
39566,T63.083,"Toxic effect of venom of other African and Asian snake, assault",T63083
39567,T63.084,"Toxic effect of venom of other African and Asian snake, undetermined",T63084
39568,T63.09,Toxic effect of venom of other snake,T6309
39569,T63.091,"Toxic effect of venom of other snake, accidental (unintentional)",T63091
39570,T63.092,"Toxic effect of venom of other snake, intentional self-harm",T63092
39571,T63.093,"Toxic effect of venom of other snake, assault",T63093
39572,T63.094,"Toxic effect of venom of other snake, undetermined",T63094
39573,T63.1,Toxic effect of venom of other reptiles,T631
39574,T63.11,Toxic effect of venom of gila monster,T6311
39575,T63.111,"Toxic effect of venom of gila monster, accidental (unintentional)",T63111
39576,T63.112,"Toxic effect of venom of gila monster, intentional self-harm",T63112
39577,T63.113,"Toxic effect of venom of gila monster, assault",T63113
39578,T63.114,"Toxic effect of venom of gila monster, undetermined",T63114
39579,T63.12,Toxic effect of venom of other venomous lizard,T6312
39580,T63.121,"Toxic effect of venom of other venomous lizard, accidental (unintentional)",T63121
39581,T63.122,"Toxic effect of venom of other venomous lizard, intentional self-harm",T63122
39582,T63.123,"Toxic effect of venom of other venomous lizard, assault",T63123
39583,T63.124,"Toxic effect of venom of other venomous lizard, undetermined",T63124
39584,T63.19,Toxic effect of venom of other reptiles,T6319
39585,T63.191,"Toxic effect of venom of other reptiles, accidental (unintentional)",T63191
39586,T63.192,"Toxic effect of venom of other reptiles, intentional self-harm",T63192
39587,T63.193,"Toxic effect of venom of other reptiles, assault",T63193
39588,T63.194,"Toxic effect of venom of other reptiles, undetermined",T63194
39589,T63.2,Toxic effect of venom of scorpion,T632
39590,T63.2X,Toxic effect of venom of scorpion,T632X
39591,T63.2X1,"Toxic effect of venom of scorpion, accidental (unintentional)",T632X1
39592,T63.2X2,"Toxic effect of venom of scorpion, intentional self-harm",T632X2
39593,T63.2X3,"Toxic effect of venom of scorpion, assault",T632X3
39594,T63.2X4,"Toxic effect of venom of scorpion, undetermined",T632X4
39595,T63.3,Toxic effect of venom of spider,T633
39596,T63.30,Toxic effect of unspecified spider venom,T6330
39597,T63.301,"Toxic effect of unspecified spider venom, accidental (unintentional)",T63301
39598,T63.302,"Toxic effect of unspecified spider venom, intentional self-harm",T63302
39599,T63.303,"Toxic effect of unspecified spider venom, assault",T63303
39600,T63.304,"Toxic effect of unspecified spider venom, undetermined",T63304
39601,T63.31,Toxic effect of venom of black widow spider,T6331
39602,T63.311,"Toxic effect of venom of black widow spider, accidental (unintentional)",T63311
39603,T63.312,"Toxic effect of venom of black widow spider, intentional self-harm",T63312
39604,T63.313,"Toxic effect of venom of black widow spider, assault",T63313
39605,T63.314,"Toxic effect of venom of black widow spider, undetermined",T63314
39606,T63.32,Toxic effect of venom of tarantula,T6332
39607,T63.321,"Toxic effect of venom of tarantula, accidental (unintentional)",T63321
39608,T63.322,"Toxic effect of venom of tarantula, intentional self-harm",T63322
39609,T63.323,"Toxic effect of venom of tarantula, assault",T63323
39610,T63.324,"Toxic effect of venom of tarantula, undetermined",T63324
39611,T63.33,Toxic effect of venom of brown recluse spider,T6333
39612,T63.331,"Toxic effect of venom of brown recluse spider, accidental (unintentional)",T63331
39613,T63.332,"Toxic effect of venom of brown recluse spider, intentional self-harm",T63332
39614,T63.333,"Toxic effect of venom of brown recluse spider, assault",T63333
39615,T63.334,"Toxic effect of venom of brown recluse spider, undetermined",T63334
39616,T63.39,Toxic effect of venom of other spider,T6339
39617,T63.391,"Toxic effect of venom of other spider, accidental (unintentional)",T63391
39618,T63.392,"Toxic effect of venom of other spider, intentional self-harm",T63392
39619,T63.393,"Toxic effect of venom of other spider, assault",T63393
39620,T63.394,"Toxic effect of venom of other spider, undetermined",T63394
39621,T63.4,Toxic effect of venom of other arthropods,T634
39622,T63.41,Toxic effect of venom of centipedes and venomous millipedes,T6341
39623,T63.411,"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional)",T63411
39624,T63.412,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm",T63412
39625,T63.413,"Toxic effect of venom of centipedes and venomous millipedes, assault",T63413
39626,T63.414,"Toxic effect of venom of centipedes and venomous millipedes, undetermined",T63414
39627,T63.42,Toxic effect of venom of ants,T6342
39628,T63.421,"Toxic effect of venom of ants, accidental (unintentional)",T63421
39629,T63.422,"Toxic effect of venom of ants, intentional self-harm",T63422
39630,T63.423,"Toxic effect of venom of ants, assault",T63423
39631,T63.424,"Toxic effect of venom of ants, undetermined",T63424
39632,T63.43,Toxic effect of venom of caterpillars,T6343
39633,T63.431,"Toxic effect of venom of caterpillars, accidental (unintentional)",T63431
39634,T63.432,"Toxic effect of venom of caterpillars, intentional self-harm",T63432
39635,T63.433,"Toxic effect of venom of caterpillars, assault",T63433
39636,T63.434,"Toxic effect of venom of caterpillars, undetermined",T63434
39637,T63.44,Toxic effect of venom of bees,T6344
39638,T63.441,"Toxic effect of venom of bees, accidental (unintentional)",T63441
39639,T63.442,"Toxic effect of venom of bees, intentional self-harm",T63442
39640,T63.443,"Toxic effect of venom of bees, assault",T63443
39641,T63.444,"Toxic effect of venom of bees, undetermined",T63444
39642,T63.45,Toxic effect of venom of hornets,T6345
39643,T63.451,"Toxic effect of venom of hornets, accidental (unintentional)",T63451
39644,T63.452,"Toxic effect of venom of hornets, intentional self-harm",T63452
39645,T63.453,"Toxic effect of venom of hornets, assault",T63453
39646,T63.454,"Toxic effect of venom of hornets, undetermined",T63454
39647,T63.46,Toxic effect of venom of wasps,T6346
39648,T63.461,"Toxic effect of venom of wasps, accidental (unintentional)",T63461
39649,T63.462,"Toxic effect of venom of wasps, intentional self-harm",T63462
39650,T63.463,"Toxic effect of venom of wasps, assault",T63463
39651,T63.464,"Toxic effect of venom of wasps, undetermined",T63464
39652,T63.48,Toxic effect of venom of other arthropod,T6348
39653,T63.481,"Toxic effect of venom of other arthropod, accidental (unintentional)",T63481
39654,T63.482,"Toxic effect of venom of other arthropod, intentional self-harm",T63482
39655,T63.483,"Toxic effect of venom of other arthropod, assault",T63483
39656,T63.484,"Toxic effect of venom of other arthropod, undetermined",T63484
39657,T63.5,Toxic effect of contact with venomous fish,T635
39658,T63.51,Toxic effect of contact with stingray,T6351
39659,T63.511,"Toxic effect of contact with stingray, accidental (unintentional)",T63511
39660,T63.512,"Toxic effect of contact with stingray, intentional self-harm",T63512
39661,T63.513,"Toxic effect of contact with stingray, assault",T63513
39662,T63.514,"Toxic effect of contact with stingray, undetermined",T63514
39663,T63.59,Toxic effect of contact with other venomous fish,T6359
39664,T63.591,"Toxic effect of contact with other venomous fish, accidental (unintentional)",T63591
39665,T63.592,"Toxic effect of contact with other venomous fish, intentional self-harm",T63592
39666,T63.593,"Toxic effect of contact with other venomous fish, assault",T63593
39667,T63.594,"Toxic effect of contact with other venomous fish, undetermined",T63594
39668,T63.6,Toxic effect of contact with other venomous marine animals,T636
39669,T63.61,Toxic effect of contact with Portuguese Man-o-war,T6361
39670,T63.611,"Toxic effect of contact with Portuguese Man-o-war, accidental (unintentional)",T63611
39671,T63.612,"Toxic effect of contact with Portuguese Man-o-war, intentional self-harm",T63612
39672,T63.613,"Toxic effect of contact with Portuguese Man-o-war, assault",T63613
39673,T63.614,"Toxic effect of contact with Portuguese Man-o-war, undetermined",T63614
39674,T63.62,Toxic effect of contact with other jellyfish,T6362
39675,T63.621,"Toxic effect of contact with other jellyfish, accidental (unintentional)",T63621
39676,T63.622,"Toxic effect of contact with other jellyfish, intentional self-harm",T63622
39677,T63.623,"Toxic effect of contact with other jellyfish, assault",T63623
39678,T63.624,"Toxic effect of contact with other jellyfish, undetermined",T63624
39679,T63.63,Toxic effect of contact with sea anemone,T6363
39680,T63.631,"Toxic effect of contact with sea anemone, accidental (unintentional)",T63631
39681,T63.632,"Toxic effect of contact with sea anemone, intentional self-harm",T63632
39682,T63.633,"Toxic effect of contact with sea anemone, assault",T63633
39683,T63.634,"Toxic effect of contact with sea anemone, undetermined",T63634
39684,T63.69,Toxic effect of contact with other venomous marine animals,T6369
39685,T63.691,"Toxic effect of contact with other venomous marine animals, accidental (unintentional)",T63691
39686,T63.692,"Toxic effect of contact with other venomous marine animals, intentional self-harm",T63692
39687,T63.693,"Toxic effect of contact with other venomous marine animals, assault",T63693
39688,T63.694,"Toxic effect of contact with other venomous marine animals, undetermined",T63694
39689,T63.7,Toxic effect of contact with venomous plant,T637
39690,T63.71,Toxic effect of contact with venomous marine plant,T6371
39691,T63.711,"Toxic effect of contact with venomous marine plant, accidental (unintentional)",T63711
39692,T63.712,"Toxic effect of contact with venomous marine plant, intentional self-harm",T63712
39693,T63.713,"Toxic effect of contact with venomous marine plant, assault",T63713
39694,T63.714,"Toxic effect of contact with venomous marine plant, undetermined",T63714
39695,T63.79,Toxic effect of contact with other venomous plant,T6379
39696,T63.791,"Toxic effect of contact with other venomous plant, accidental (unintentional)",T63791
39697,T63.792,"Toxic effect of contact with other venomous plant, intentional self-harm",T63792
39698,T63.793,"Toxic effect of contact with other venomous plant, assault",T63793
39699,T63.794,"Toxic effect of contact with other venomous plant, undetermined",T63794
39700,T63.8,Toxic effect of contact with other venomous animals,T638
39701,T63.81,Toxic effect of contact with venomous frog,T6381
39702,T63.811,"Toxic effect of contact with venomous frog, accidental (unintentional)",T63811
39703,T63.812,"Toxic effect of contact with venomous frog, intentional self-harm",T63812
39704,T63.813,"Toxic effect of contact with venomous frog, assault",T63813
39705,T63.814,"Toxic effect of contact with venomous frog, undetermined",T63814
39706,T63.82,Toxic effect of contact with venomous toad,T6382
39707,T63.821,"Toxic effect of contact with venomous toad, accidental (unintentional)",T63821
39708,T63.822,"Toxic effect of contact with venomous toad, intentional self-harm",T63822
39709,T63.823,"Toxic effect of contact with venomous toad, assault",T63823
39710,T63.824,"Toxic effect of contact with venomous toad, undetermined",T63824
39711,T63.83,Toxic effect of contact with other venomous amphibian,T6383
39712,T63.831,"Toxic effect of contact with other venomous amphibian, accidental (unintentional)",T63831
39713,T63.832,"Toxic effect of contact with other venomous amphibian, intentional self-harm",T63832
39714,T63.833,"Toxic effect of contact with other venomous amphibian, assault",T63833
39715,T63.834,"Toxic effect of contact with other venomous amphibian, undetermined",T63834
39716,T63.89,Toxic effect of contact with other venomous animals,T6389
39717,T63.891,"Toxic effect of contact with other venomous animals, accidental (unintentional)",T63891
39718,T63.892,"Toxic effect of contact with other venomous animals, intentional self-harm",T63892
39719,T63.893,"Toxic effect of contact with other venomous animals, assault",T63893
39720,T63.894,"Toxic effect of contact with other venomous animals, undetermined",T63894
39721,T63.9,Toxic effect of contact with unspecified venomous animal,T639
39722,T63.91,"Toxic effect of contact with unspecified venomous animal, accidental (unintentional)",T6391
39723,T63.92,"Toxic effect of contact with unspecified venomous animal, intentional self-harm",T6392
39724,T63.93,"Toxic effect of contact with unspecified venomous animal, assault",T6393
39725,T63.94,"Toxic effect of contact with unspecified venomous animal, undetermined",T6394
39726,T64,Toxic effect of aflatoxin and other mycotoxin food contaminants,T64
39727,T64.0,Toxic effect of aflatoxin,T640
39728,T64.01,"Toxic effect of aflatoxin, accidental (unintentional)",T6401
39729,T64.02,"Toxic effect of aflatoxin, intentional self-harm",T6402
39730,T64.03,"Toxic effect of aflatoxin, assault",T6403
39731,T64.04,"Toxic effect of aflatoxin, undetermined",T6404
39732,T64.8,Toxic effect of other mycotoxin food contaminants,T648
39733,T64.81,"Toxic effect of other mycotoxin food contaminants, accidental (unintentional)",T6481
39734,T64.82,"Toxic effect of other mycotoxin food contaminants, intentional self-harm",T6482
39735,T64.83,"Toxic effect of other mycotoxin food contaminants, assault",T6483
39736,T64.84,"Toxic effect of other mycotoxin food contaminants, undetermined",T6484
39737,T65,Toxic effect of other and unspecified substances,T65
39738,T65.0,Toxic effect of cyanides,T650
39739,T65.0X,Toxic effect of cyanides,T650X
39740,T65.0X1,"Toxic effect of cyanides, accidental (unintentional)",T650X1
39741,T65.0X2,"Toxic effect of cyanides, intentional self-harm",T650X2
39742,T65.0X3,"Toxic effect of cyanides, assault",T650X3
39743,T65.0X4,"Toxic effect of cyanides, undetermined",T650X4
39744,T65.1,Toxic effect of strychnine and its salts,T651
39745,T65.1X,Toxic effect of strychnine and its salts,T651X
39746,T65.1X1,"Toxic effect of strychnine and its salts, accidental (unintentional)",T651X1
39747,T65.1X2,"Toxic effect of strychnine and its salts, intentional self-harm",T651X2
39748,T65.1X3,"Toxic effect of strychnine and its salts, assault",T651X3
39749,T65.1X4,"Toxic effect of strychnine and its salts, undetermined",T651X4
39750,T65.2,Toxic effect of tobacco and nicotine,T652
39751,T65.21,Toxic effect of chewing tobacco,T6521
39752,T65.211,"Toxic effect of chewing tobacco, accidental (unintentional)",T65211
39753,T65.212,"Toxic effect of chewing tobacco, intentional self-harm",T65212
39754,T65.213,"Toxic effect of chewing tobacco, assault",T65213
39755,T65.214,"Toxic effect of chewing tobacco, undetermined",T65214
39756,T65.22,Toxic effect of tobacco cigarettes,T6522
39757,T65.221,"Toxic effect of tobacco cigarettes, accidental (unintentional)",T65221
39758,T65.222,"Toxic effect of tobacco cigarettes, intentional self-harm",T65222
39759,T65.223,"Toxic effect of tobacco cigarettes, assault",T65223
39760,T65.224,"Toxic effect of tobacco cigarettes, undetermined",T65224
39761,T65.29,Toxic effect of other tobacco and nicotine,T6529
39762,T65.291,"Toxic effect of other tobacco and nicotine, accidental (unintentional)",T65291
39763,T65.292,"Toxic effect of other tobacco and nicotine, intentional self-harm",T65292
39764,T65.293,"Toxic effect of other tobacco and nicotine, assault",T65293
39765,T65.294,"Toxic effect of other tobacco and nicotine, undetermined",T65294
39766,T65.3,Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues,T653
39767,T65.3X,Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues,T653X
39768,T65.3X1,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, accidental (unintentional)",T653X1
39769,T65.3X2,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm",T653X2
39770,T65.3X3,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, assault",T653X3
39771,T65.3X4,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, undetermined",T653X4
39772,T65.4,Toxic effect of carbon disulfide,T654
39773,T65.4X,Toxic effect of carbon disulfide,T654X
39774,T65.4X1,"Toxic effect of carbon disulfide, accidental (unintentional)",T654X1
39775,T65.4X2,"Toxic effect of carbon disulfide, intentional self-harm",T654X2
39776,T65.4X3,"Toxic effect of carbon disulfide, assault",T654X3
39777,T65.4X4,"Toxic effect of carbon disulfide, undetermined",T654X4
39778,T65.5,Toxic effect of nitroglycerin and other nitric acids and esters,T655
39779,T65.5X,Toxic effect of nitroglycerin and other nitric acids and esters,T655X
39780,T65.5X1,"Toxic effect of nitroglycerin and other nitric acids and esters, accidental (unintentional)",T655X1
39781,T65.5X2,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm",T655X2
39782,T65.5X3,"Toxic effect of nitroglycerin and other nitric acids and esters, assault",T655X3
39783,T65.5X4,"Toxic effect of nitroglycerin and other nitric acids and esters, undetermined",T655X4
